week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-01-01,BEV-002,STR-018,138,116,87,167,False
2024-01-01,BEV-002,STR-019,241,68,80,229,False
2024-01-01,BEV-002,STR-020,125,143,86,182,False
2024-01-01,BEV-002,STR-021,118,46,126,38,False
2024-01-01,BEV-002,STR-022,193,84,114,163,False
2024-01-01,BEV-002,STR-023,150,22,52,120,False
2024-01-01,BEV-002,STR-024,229,137,68,298,False
2024-01-01,BEV-002,STR-025,145,0,77,68,False
2024-01-01,BEV-002,STR-026,65,23,23,65,False
2024-01-01,BEV-002,STR-027,177,83,21,239,False
2024-01-01,BEV-002,STR-028,212,123,69,266,False
2024-01-01,BEV-002,STR-029,116,64,40,140,False
2024-01-01,BEV-002,STR-030,92,43,93,42,False
2024-01-01,BEV-002,STR-031,144,45,31,158,False
2024-01-01,BEV-002,STR-032,130,89,137,82,False
2024-01-01,BEV-002,STR-033,139,114,45,208,False
2024-01-01,BEV-002,STR-034,107,113,87,133,False
2024-01-01,BEV-002,STR-035,169,20,48,141,False
2024-01-01,BEV-002,STR-036,187,100,55,232,False
2024-01-01,BEV-002,STR-037,226,98,83,241,False
2024-01-01,BEV-002,STR-038,145,36,101,80,False
2024-01-01,BEV-002,STR-039,148,104,140,112,False
2024-01-01,BEV-002,STR-040,133,111,81,163,False
2024-01-01,BEV-003,STR-001,236,18,32,222,False
2024-01-01,BEV-003,STR-002,238,146,31,353,False
2024-01-01,BEV-003,STR-003,177,51,148,80,False
2024-01-01,BEV-003,STR-004,166,68,35,199,False
2024-01-01,BEV-003,STR-005,229,122,44,307,False
2024-01-01,BEV-003,STR-006,88,108,98,98,False
2024-01-01,BEV-003,STR-007,216,141,77,280,False
2024-01-01,BEV-003,STR-008,212,74,24,262,False
2024-01-01,BEV-003,STR-009,194,6,100,100,False
2024-01-01,BEV-003,STR-010,219,136,59,296,False
2024-01-01,BEV-003,STR-011,54,28,85,0,True
2024-01-01,BEV-003,STR-012,135,144,109,170,False
2024-01-01,BEV-003,STR-013,94,131,108,117,False
2024-01-01,BEV-003,STR-014,68,107,50,125,False
2024-01-01,BEV-003,STR-015,139,18,110,47,False
2024-01-01,BEV-003,STR-016,175,57,144,88,False
2024-01-01,BEV-003,STR-017,110,126,91,145,False
2024-01-01,BEV-003,STR-018,180,91,20,251,False
2024-01-01,BEV-003,STR-019,162,55,82,135,False
2024-01-01,BEV-003,STR-020,107,43,25,125,False
2024-01-01,BEV-003,STR-021,110,46,64,92,False
2024-01-01,BEV-003,STR-022,213,146,104,255,False
2024-01-01,BEV-003,STR-023,96,48,37,107,False
2024-01-01,BEV-003,STR-024,50,116,50,116,False
2024-01-01,BEV-003,STR-025,193,11,22,182,False
2024-01-01,BEV-003,STR-026,249,101,35,315,False
2024-01-01,BEV-003,STR-027,166,7,47,126,False
2024-01-01,BEV-003,STR-028,109,27,100,36,False
2024-01-01,BEV-003,STR-029,240,144,59,325,False
2024-01-01,BEV-003,STR-030,206,140,103,243,False
2024-01-01,BEV-003,STR-031,131,114,25,220,False
2024-01-01,BEV-003,STR-032,202,9,66,145,False
2024-01-01,BEV-003,STR-033,168,32,24,176,False
2024-01-01,BEV-003,STR-034,226,10,37,199,False
2024-01-01,BEV-003,STR-035,135,58,82,111,False
2024-01-01,BEV-003,STR-036,210,97,96,211,False
2024-01-01,BEV-003,STR-037,55,94,96,53,False
2024-01-01,BEV-003,STR-038,230,22,22,230,False
2024-01-01,BEV-003,STR-039,132,144,56,220,False
2024-01-01,BEV-003,STR-040,222,3,91,134,False
2024-01-01,BEV-004,STR-001,141,94,68,167,False
2024-01-01,BEV-004,STR-002,167,2,94,75,False
2024-01-01,BEV-004,STR-003,242,53,31,264,False
2024-01-01,BEV-004,STR-004,106,144,113,137,False
2024-01-01,BEV-004,STR-005,191,65,135,121,False
2024-01-01,BEV-004,STR-006,241,37,57,221,False
2024-01-01,BEV-004,STR-007,79,78,101,56,False
2024-01-01,BEV-004,STR-008,101,78,82,97,False
2024-01-01,BEV-004,STR-009,130,132,70,192,False
2024-01-01,BEV-004,STR-010,233,144,29,348,False
2024-01-01,BEV-004,STR-011,118,33,103,48,False
2024-01-01,BEV-004,STR-012,175,42,85,132,False
2024-01-01,BEV-004,STR-013,232,79,54,257,False
2024-01-01,BEV-004,STR-014,153,131,29,255,False
2024-01-01,BEV-004,STR-015,145,92,86,151,False
2024-01-01,BEV-004,STR-016,171,50,80,141,False
2024-01-01,BEV-004,STR-017,110,21,79,52,False
2024-01-01,BEV-004,STR-018,139,45,40,144,False
2024-01-01,BEV-004,STR-019,94,72,97,69,False
2024-01-01,BEV-004,STR-020,143,106,97,152,False
2024-01-01,BEV-004,STR-021,130,25,80,75,False
2024-01-01,BEV-004,STR-022,162,98,27,233,False
2024-01-01,BEV-004,STR-023,63,27,97,0,True
2024-01-01,BEV-004,STR-024,179,108,107,180,False
2024-01-01,BEV-004,STR-025,52,110,33,129,False
2024-01-01,BEV-004,STR-026,87,114,37,164,False
2024-01-01,BEV-004,STR-027,88,16,61,43,False
2024-01-01,BEV-004,STR-028,194,12,57,149,False
2024-01-01,BEV-004,STR-029,187,66,87,166,False
2024-01-01,BEV-004,STR-030,160,110,37,233,False
2024-01-01,BEV-004,STR-031,217,112,27,302,False
2024-01-01,BEV-004,STR-032,218,100,61,257,False
2024-01-01,BEV-004,STR-033,113,58,45,126,False
2024-01-01,BEV-004,STR-034,230,149,52,327,False
2024-01-01,BEV-004,STR-035,143,74,29,188,False
2024-01-01,BEV-004,STR-036,186,130,96,220,False
2024-01-01,BEV-004,STR-037,85,5,59,31,False
2024-01-01,BEV-004,STR-038,124,3,111,16,False
2024-01-01,BEV-004,STR-039,111,78,91,98,False
2024-01-01,BEV-004,STR-040,228,43,45,226,False
2024-01-01,BEV-005,STR-001,69,112,49,132,False
2024-01-01,BEV-005,STR-002,139,141,20,260,False
2024-01-01,BEV-005,STR-003,175,138,56,257,False
2024-01-01,BEV-005,STR-004,52,133,96,89,False
2024-01-01,BEV-005,STR-005,54,137,29,162,False
2024-01-01,BEV-005,STR-006,217,129,32,314,False
2024-01-01,BEV-005,STR-007,58,142,46,154,False
2024-01-01,BEV-005,STR-008,143,94,54,183,False
2024-01-01,BEV-005,STR-009,237,77,81,233,False
2024-01-01,BEV-005,STR-010,186,75,94,167,False
2024-01-01,BEV-005,STR-011,89,63,20,132,False
2024-01-01,BEV-005,STR-012,142,71,83,130,False
2024-01-01,BEV-005,STR-013,109,29,33,105,False
2024-01-01,BEV-005,STR-014,54,82,56,80,False
2024-01-01,BEV-005,STR-015,111,131,45,197,False
2024-01-01,BEV-005,STR-016,138,145,61,222,False
2024-01-01,BEV-005,STR-017,153,13,58,108,False
2024-01-01,BEV-005,STR-018,146,22,57,111,False
2024-01-01,BEV-005,STR-019,202,144,116,230,False
2024-01-01,BEV-005,STR-020,102,103,85,120,False
2024-01-01,BEV-005,STR-021,116,134,32,218,False
2024-01-01,BEV-005,STR-022,241,14,61,194,False
2024-01-01,BEV-005,STR-023,204,37,52,189,False
2024-01-01,BEV-005,STR-024,232,32,46,218,False
2024-01-01,BEV-005,STR-025,172,73,31,214,False
2024-01-01,BEV-005,STR-026,190,46,57,179,False
2024-01-01,BEV-005,STR-027,229,14,107,136,False
2024-01-01,BEV-005,STR-028,206,46,24,228,False
2024-01-01,BEV-005,STR-029,179,94,64,209,False
2024-01-01,BEV-005,STR-030,85,25,55,55,False
2024-01-01,BEV-005,STR-031,197,10,88,119,False
2024-01-01,BEV-005,STR-032,183,22,57,148,False
2024-01-01,BEV-005,STR-033,156,139,65,230,False
2024-01-01,BEV-005,STR-034,160,103,81,182,False
2024-01-01,BEV-005,STR-035,149,67,95,121,False
2024-01-01,BEV-005,STR-036,121,126,56,191,False
2024-01-01,BEV-005,STR-037,100,28,36,92,False
2024-01-01,BEV-005,STR-038,50,45,54,41,False
2024-01-01,BEV-005,STR-039,106,0,94,12,False
2024-01-01,BEV-005,STR-040,164,142,74,232,False
2024-01-01,BEV-006,STR-001,102,136,92,146,False
2024-01-01,BEV-006,STR-002,84,62,78,68,False
2024-01-01,BEV-006,STR-003,124,37,109,52,False
2024-01-01,BEV-006,STR-004,211,90,101,200,False
2024-01-01,BEV-006,STR-005,236,107,62,281,False
2024-01-01,BEV-006,STR-006,201,24,73,152,False
2024-01-01,BEV-006,STR-007,137,28,89,76,False
2024-01-01,BEV-006,STR-008,203,113,41,275,False
2024-01-01,BEV-006,STR-009,130,83,90,123,False
2024-01-01,BEV-006,STR-010,167,85,39,213,False
2024-01-01,BEV-006,STR-011,50,140,117,73,False
2024-01-01,BEV-006,STR-012,172,61,70,163,False
2024-01-01,BEV-006,STR-013,79,143,145,77,False
2024-01-01,BEV-006,STR-014,50,77,37,90,False
2024-01-01,BEV-006,STR-015,162,113,85,190,False
2024-01-01,BEV-006,STR-016,112,131,70,173,False
2024-01-01,BEV-006,STR-017,81,9,28,62,False
2024-01-01,BEV-006,STR-018,173,86,53,206,False
2024-01-01,BEV-006,STR-019,227,134,51,310,False
2024-01-01,BEV-006,STR-020,106,66,84,88,False
2024-01-01,BEV-006,STR-021,103,66,118,51,False
2024-01-01,BEV-006,STR-022,57,34,111,0,True
2024-01-01,BEV-006,STR-023,193,141,84,250,False
2024-01-01,BEV-006,STR-024,56,73,67,62,False
2024-01-01,BEV-006,STR-025,85,28,49,64,False
2024-01-01,BEV-006,STR-026,178,46,21,203,False
2024-01-01,BEV-006,STR-027,179,118,30,267,False
2024-01-01,BEV-006,STR-028,86,136,24,198,False
2024-01-01,BEV-006,STR-029,148,85,63,170,False
2024-01-01,BEV-006,STR-030,207,119,100,226,False
2024-01-01,BEV-006,STR-031,177,113,106,184,False
2024-01-01,BEV-006,STR-032,74,102,110,66,False
2024-01-01,BEV-006,STR-033,203,28,29,202,False
2024-01-01,BEV-006,STR-034,195,127,115,207,False
2024-01-01,BEV-006,STR-035,66,121,68,119,False
2024-01-01,BEV-006,STR-036,76,56,105,27,False
2024-01-01,BEV-006,STR-037,217,97,110,204,False
2024-01-01,BEV-006,STR-038,248,137,72,313,False
2024-01-01,BEV-006,STR-039,239,121,45,315,False
2024-01-01,BEV-006,STR-040,103,106,21,188,False
2024-01-01,BEV-007,STR-001,78,148,58,168,False
2024-01-01,BEV-007,STR-002,213,112,30,295,False
2024-01-01,BEV-007,STR-003,103,97,118,82,False
2024-01-01,BEV-007,STR-004,199,68,43,224,False
2024-01-01,BEV-007,STR-005,197,80,55,222,False
2024-01-01,BEV-007,STR-006,203,72,117,158,False
2024-01-01,BEV-007,STR-007,220,103,104,219,False
2024-01-01,BEV-007,STR-008,84,130,58,156,False
2024-01-01,BEV-007,STR-009,151,97,146,102,False
2024-01-01,BEV-007,STR-010,238,16,88,166,False
2024-01-01,BEV-007,STR-011,96,11,74,33,False
2024-01-01,BEV-007,STR-012,132,7,107,32,False
2024-01-01,BEV-007,STR-013,167,24,100,91,False
2024-01-01,BEV-007,STR-014,192,58,31,219,False
2024-01-01,BEV-007,STR-015,96,31,45,82,False
2024-01-01,BEV-007,STR-016,194,25,90,129,False
2024-01-01,BEV-007,STR-017,63,78,26,115,False
2024-01-01,BEV-007,STR-018,164,71,28,207,False
2024-01-01,BEV-007,STR-019,131,115,106,140,False
2024-01-01,BEV-007,STR-020,236,102,37,301,False
2024-01-01,BEV-007,STR-021,94,97,102,89,False
2024-01-01,BEV-007,STR-022,217,107,62,262,False
2024-01-01,BEV-007,STR-023,142,140,23,259,False
2024-01-01,BEV-007,STR-024,219,107,35,291,False
2024-01-01,BEV-007,STR-025,207,12,68,151,False
2024-01-01,BEV-007,STR-026,145,122,51,216,False
2024-01-01,BEV-007,STR-027,239,61,48,252,False
2024-01-01,BEV-007,STR-028,65,120,76,109,False
2024-01-01,BEV-007,STR-029,152,83,44,191,False
2024-01-01,BEV-007,STR-030,226,2,113,115,False
2024-01-01,BEV-007,STR-031,117,145,49,213,False
2024-01-01,BEV-007,STR-032,122,142,93,171,False
2024-01-01,BEV-007,STR-033,245,139,107,277,False
2024-01-01,BEV-007,STR-034,110,123,56,177,False
2024-01-01,BEV-007,STR-035,112,45,75,82,False
2024-01-01,BEV-007,STR-036,126,51,81,96,False
2024-01-01,BEV-007,STR-037,103,116,106,113,False
2024-01-01,BEV-007,STR-038,156,56,93,119,False
2024-01-01,BEV-007,STR-039,54,4,32,26,False
2024-01-01,BEV-007,STR-040,226,8,106,128,False
2024-01-01,BEV-008,STR-001,172,81,80,173,False
2024-01-01,BEV-008,STR-002,52,12,107,0,True
2024-01-01,BEV-008,STR-003,191,100,113,178,False
2024-01-01,BEV-008,STR-004,78,136,144,70,False
2024-01-01,BEV-008,STR-005,89,24,36,77,False
2024-01-01,BEV-008,STR-006,173,37,78,132,False
2024-01-01,BEV-008,STR-007,225,89,24,290,False
2024-01-01,BEV-008,STR-008,109,27,56,80,False
2024-01-01,BEV-008,STR-009,111,92,83,120,False
2024-01-01,BEV-008,STR-010,105,39,86,58,False
2024-01-01,BEV-008,STR-011,82,5,110,0,True
2024-01-01,BEV-008,STR-012,217,91,99,209,False
2024-01-01,BEV-008,STR-013,97,12,78,31,False
2024-01-01,BEV-008,STR-014,230,99,108,221,False
2024-01-01,BEV-008,STR-015,237,6,57,186,False
2024-01-01,BEV-008,STR-016,107,30,64,73,False
2024-01-01,BEV-008,STR-017,209,106,29,286,False
2024-01-01,BEV-008,STR-018,51,76,154,0,True
2024-01-01,BEV-008,STR-019,243,12,58,197,False
2024-01-01,BEV-008,STR-020,153,97,36,214,False
2024-01-01,BEV-008,STR-021,158,69,107,120,False
2024-01-01,BEV-008,STR-022,123,62,90,95,False
2024-01-01,BEV-008,STR-023,86,21,98,9,True
2024-01-01,BEV-008,STR-024,117,16,115,18,False
2024-01-01,BEV-008,STR-025,187,117,36,268,False
2024-01-01,BEV-008,STR-026,169,49,109,109,False
2024-01-01,BEV-008,STR-027,78,124,66,136,False
2024-01-01,BEV-008,STR-028,188,32,48,172,False
2024-01-01,BEV-008,STR-029,209,57,98,168,False
2024-01-01,BEV-008,STR-030,53,98,62,89,False
2024-01-01,BEV-008,STR-031,64,118,58,124,False
2024-01-01,BEV-008,STR-032,165,31,94,102,False
2024-01-01,BEV-008,STR-033,76,80,122,34,False
2024-01-01,BEV-008,STR-034,141,20,75,86,False
2024-01-01,BEV-008,STR-035,133,5,78,60,False
2024-01-01,BEV-008,STR-036,180,0,88,92,False
2024-01-01,BEV-008,STR-037,64,63,57,70,False
2024-01-01,BEV-008,STR-038,61,17,43,35,False
2024-01-01,BEV-008,STR-039,76,71,99,48,False
2024-01-01,BEV-008,STR-040,57,78,93,42,False
2024-01-01,BEV-009,STR-001,248,130,69,309,False
2024-01-01,BEV-009,STR-002,230,23,63,190,False
2024-01-01,BEV-009,STR-003,197,45,22,220,False
2024-01-01,BEV-009,STR-004,248,16,113,151,False
2024-01-01,BEV-009,STR-005,58,62,103,17,False
2024-01-01,BEV-009,STR-006,137,71,21,187,False
2024-01-01,BEV-009,STR-007,121,20,96,45,False
2024-01-01,BEV-009,STR-008,215,31,148,98,False
2024-01-01,BEV-009,STR-009,82,101,108,75,False
2024-01-01,BEV-009,STR-010,228,87,30,285,False
2024-01-01,BEV-009,STR-011,129,53,66,116,False
2024-01-01,BEV-009,STR-012,210,96,39,267,False
2024-01-01,BEV-009,STR-013,207,76,52,231,False
2024-01-01,BEV-009,STR-014,152,89,74,167,False
2024-01-01,BEV-009,STR-015,155,118,34,239,False
2024-01-01,BEV-009,STR-016,110,122,94,138,False
2024-01-01,BEV-009,STR-017,209,40,148,101,False
2024-01-01,BEV-009,STR-018,121,91,27,185,False
2024-01-01,BEV-009,STR-019,160,126,81,205,False
2024-01-01,BEV-009,STR-020,107,21,32,96,False
2024-01-01,BEV-009,STR-021,176,40,22,194,False
2024-01-01,BEV-009,STR-022,136,11,40,107,False
2024-01-01,BEV-009,STR-023,104,99,49,154,False
2024-01-01,BEV-009,STR-024,168,52,112,108,False
2024-01-01,BEV-009,STR-025,93,81,70,104,False
2024-01-01,BEV-009,STR-026,105,104,149,60,False
2024-01-01,BEV-009,STR-027,84,92,47,129,False
2024-01-01,BEV-009,STR-028,146,134,98,182,False
2024-01-01,BEV-009,STR-029,208,23,113,118,False
2024-01-01,BEV-009,STR-030,157,125,23,259,False
2024-01-01,BEV-009,STR-031,99,95,43,151,False
2024-01-01,BEV-009,STR-032,115,78,117,76,False
2024-01-01,BEV-009,STR-033,88,114,25,177,False
2024-01-01,BEV-009,STR-034,180,17,31,166,False
2024-01-01,BEV-009,STR-035,148,25,34,139,False
2024-01-01,BEV-009,STR-036,136,41,113,64,False
2024-01-01,BEV-009,STR-037,118,40,72,86,False
2024-01-01,BEV-009,STR-038,133,129,42,220,False
2024-01-01,BEV-009,STR-039,115,4,61,58,False
2024-01-01,BEV-009,STR-040,233,44,59,218,False
2024-01-01,BEV-010,STR-001,167,13,111,69,False
2024-01-01,BEV-010,STR-002,59,75,112,22,False
2024-01-01,BEV-010,STR-003,182,19,20,181,False
2024-01-01,BEV-010,STR-004,50,56,95,11,False
2024-01-01,BEV-010,STR-005,224,48,72,200,False
2024-01-01,BEV-010,STR-006,105,110,63,152,False
2024-01-01,BEV-010,STR-007,197,113,80,230,False
2024-01-01,BEV-010,STR-008,86,19,92,13,False
2024-01-01,BEV-010,STR-009,108,68,115,61,False
2024-01-01,BEV-010,STR-010,230,42,50,222,False
2024-01-01,BEV-010,STR-011,88,37,98,27,False
2024-01-01,BEV-010,STR-012,129,123,92,160,False
2024-01-01,BEV-010,STR-013,178,7,104,81,False
2024-01-01,BEV-010,STR-014,224,33,136,121,False
2024-01-01,BEV-010,STR-015,220,113,109,224,False
2024-01-01,BEV-010,STR-016,121,88,123,86,False
2024-01-01,BEV-010,STR-017,50,146,52,144,False
2024-01-01,BEV-010,STR-018,102,47,33,116,False
2024-01-01,BEV-010,STR-019,239,62,109,192,False
2024-01-01,BEV-010,STR-020,138,12,60,90,False
2024-01-01,BEV-010,STR-021,208,67,96,179,False
2024-01-01,BEV-010,STR-022,151,18,23,146,False
2024-01-01,BEV-010,STR-023,190,22,101,111,False
2024-01-01,BEV-010,STR-024,178,87,94,171,False
2024-01-01,BEV-010,STR-025,138,142,90,190,False
2024-01-01,BEV-010,STR-026,192,148,90,250,False
2024-01-01,BEV-010,STR-027,210,48,112,146,False
2024-01-01,BEV-010,STR-028,221,101,54,268,False
2024-01-01,BEV-010,STR-029,123,8,126,5,True
2024-01-01,BEV-010,STR-030,121,47,45,123,False
2024-01-01,BEV-010,STR-031,166,11,47,130,False
2024-01-01,BEV-010,STR-032,64,42,81,25,False
2024-01-01,BEV-010,STR-033,95,107,89,113,False
2024-01-01,BEV-010,STR-034,200,106,40,266,False
2024-01-01,BEV-010,STR-035,74,35,44,65,False
2024-01-01,BEV-010,STR-036,117,20,34,103,False
2024-01-01,BEV-010,STR-037,83,77,38,122,False
2024-01-01,BEV-010,STR-038,76,34,71,39,False
2024-01-01,BEV-010,STR-039,207,145,55,297,False
2024-01-01,BEV-010,STR-040,181,89,96,174,False
2024-01-01,BEV-011,STR-001,88,140,120,108,False
2024-01-01,BEV-011,STR-002,238,41,79,200,False
2024-01-01,BEV-011,STR-003,245,117,103,259,False
2024-01-01,BEV-011,STR-004,221,119,20,320,False
2024-01-01,BEV-011,STR-005,172,140,66,246,False
2024-01-01,BEV-011,STR-006,186,25,40,171,False
2024-01-01,BEV-011,STR-007,121,48,79,90,False
2024-01-01,BEV-011,STR-008,68,99,55,112,False
2024-01-01,BEV-011,STR-009,138,145,93,190,False
2024-01-01,BEV-011,STR-010,232,68,93,207,False
2024-01-01,BEV-011,STR-011,168,148,67,249,False
2024-01-01,BEV-011,STR-012,248,10,70,188,False
2024-01-01,BEV-011,STR-013,202,1,98,105,False
2024-01-01,BEV-011,STR-014,134,145,26,253,False
2024-01-01,BEV-011,STR-015,218,23,58,183,False
2024-01-01,BEV-011,STR-016,81,108,79,110,False
2024-01-01,BEV-011,STR-017,180,72,71,181,False
2024-01-01,BEV-011,STR-018,218,12,89,141,False
2024-01-01,BEV-011,STR-019,237,4,21,220,False
2024-01-01,BEV-011,STR-020,99,66,118,47,False
2024-01-01,BEV-011,STR-021,52,85,77,60,False
2024-01-01,BEV-011,STR-022,221,1,106,116,False
2024-01-01,BEV-011,STR-023,147,29,54,122,False
2024-01-01,BEV-011,STR-024,93,35,41,87,False
2024-01-01,BEV-011,STR-025,80,46,112,14,False
2024-01-01,BEV-011,STR-026,170,54,63,161,False
2024-01-01,BEV-011,STR-027,193,139,36,296,False
2024-01-01,BEV-011,STR-028,193,29,22,200,False
2024-01-01,BEV-011,STR-029,153,107,31,229,False
2024-01-01,BEV-011,STR-030,199,31,115,115,False
2024-01-01,BEV-011,STR-031,191,35,152,74,False
2024-01-01,BEV-011,STR-032,154,84,85,153,False
2024-01-01,BEV-011,STR-033,242,74,92,224,False
2024-01-01,BEV-011,STR-034,200,54,81,173,False
2024-01-01,BEV-011,STR-035,109,100,136,73,False
2024-01-01,BEV-011,STR-036,98,41,31,108,False
2024-01-01,BEV-011,STR-037,84,133,64,153,False
2024-01-01,BEV-011,STR-038,192,148,119,221,False
2024-01-01,BEV-011,STR-039,69,9,131,0,True
2024-01-01,BEV-011,STR-040,103,32,44,91,False
2024-01-01,BEV-012,STR-001,114,109,33,190,False
2024-01-01,BEV-012,STR-002,180,133,71,242,False
2024-01-01,BEV-012,STR-003,245,24,52,217,False
2024-01-01,BEV-012,STR-004,177,95,66,206,False
2024-01-01,BEV-012,STR-005,127,19,50,96,False
2024-01-01,BEV-012,STR-006,240,133,79,294,False
2024-01-01,BEV-012,STR-007,200,30,102,128,False
2024-01-01,BEV-012,STR-008,179,125,140,164,False
2024-01-01,BEV-012,STR-009,105,82,50,137,False
2024-01-01,BEV-012,STR-010,164,6,105,65,False
2024-01-01,BEV-012,STR-011,53,3,116,0,True
2024-01-01,BEV-012,STR-012,150,102,36,216,False
2024-01-01,BEV-012,STR-013,227,62,74,215,False
2024-01-01,BEV-012,STR-014,111,6,82,35,False
2024-01-01,BEV-012,STR-015,63,85,105,43,False
2024-01-01,BEV-012,STR-016,179,61,74,166,False
2024-01-01,BEV-012,STR-017,198,137,98,237,False
2024-01-01,BEV-012,STR-018,182,64,58,188,False
2024-01-01,BEV-012,STR-019,230,81,109,202,False
2024-01-01,BEV-012,STR-020,237,138,153,222,False
2024-01-01,BEV-012,STR-021,232,116,71,277,False
2024-01-01,BEV-012,STR-022,83,51,87,47,False
2024-01-01,BEV-012,STR-023,229,41,145,125,False
2024-01-01,BEV-012,STR-024,162,104,32,234,False
2024-01-01,BEV-012,STR-025,179,59,26,212,False
2024-01-01,BEV-012,STR-026,237,20,100,157,False
2024-01-01,BEV-012,STR-027,57,78,53,82,False
2024-01-01,BEV-012,STR-028,137,68,106,99,False
2024-01-01,BEV-012,STR-029,136,100,84,152,False
2024-01-01,BEV-012,STR-030,178,108,80,206,False
2024-01-01,BEV-012,STR-031,201,16,118,99,False
2024-01-01,BEV-012,STR-032,107,109,40,176,False
2024-01-01,BEV-012,STR-033,192,134,71,255,False
2024-01-01,BEV-012,STR-034,235,4,70,169,False
2024-01-01,BEV-012,STR-035,57,63,115,5,True
2024-01-01,BEV-012,STR-036,161,80,115,126,False
2024-01-01,BEV-012,STR-037,122,48,44,126,False
2024-01-01,BEV-012,STR-038,127,104,87,144,False
2024-01-01,BEV-012,STR-039,163,9,81,91,False
2024-01-01,BEV-012,STR-040,140,1,31,110,False
2024-01-01,BEV-013,STR-001,209,94,72,231,False
2024-01-01,BEV-013,STR-002,173,10,51,132,False
2024-01-01,BEV-013,STR-003,202,58,96,164,False
2024-01-01,BEV-013,STR-004,163,21,108,76,False
2024-01-01,BEV-013,STR-005,221,31,103,149,False
2024-01-01,BEV-013,STR-006,171,31,40,162,False
2024-01-01,BEV-013,STR-007,61,17,58,20,False
2024-01-01,BEV-013,STR-008,175,135,40,270,False
2024-01-01,BEV-013,STR-009,200,85,26,259,False
2024-01-01,BEV-013,STR-010,71,91,108,54,False
2024-01-01,BEV-013,STR-011,229,26,135,120,False
2024-01-01,BEV-013,STR-012,200,87,98,189,False
2024-01-01,BEV-013,STR-013,220,96,41,275,False
2024-01-01,BEV-013,STR-014,167,18,82,103,False
2024-01-01,BEV-013,STR-015,177,110,57,230,False
2024-01-01,BEV-013,STR-016,157,4,26,135,False
2024-01-01,BEV-013,STR-017,153,63,23,193,False
